,Description,Category,SubCategory1,SubCategory2,SubCategory3
20,Paint fallen by passerby,Waste,Chemical waste,Paint on the street,
21,Mr. indicates that there is all paint on the street. Please clean.,Waste,Chemical waste,Paint on the street,
22,Paint stains on the street around the construction container,Waste,Chemical waste,Paint on the street,
23,There is paint on the sidewalk.,Waste,Chemical waste,Paint on the street,
24,Paint on the sidewalk.,Waste,Chemical waste,Paint on the street,
25,Paint pot fallen on the street (umpteenth time) entire street has traces of it,Waste,Chemical waste,Paint on the street,
26,In the street there are 6 paint pots at the oracs. ,Waste,Chemical waste,Paint on the street,
27,Mr. indicates that the neighbors who had a bulky waste appointment for Monday added buckets of paint that were not taken by bulky waste and there are still one of which is already open and the paint is on the street. This is not useful with the children who live in the street.,Waste,Chemical waste,Paint on the street,
28,paint on the road (cycle path),Waste,Chemical waste,Paint on the street,
29,There are 2 pots of paint,Waste,Chemical waste,Paint on the street,
30,like to remove a whole paint trail or latex paint in the street,Waste,Chemical waste,Paint on the street,
31,"When I have deposited my empty bottles and plastic in the bins opposite Korte Vleerstraat 92-110, I walk back towards Torenstraat and a white paint trail is visible on the street. Even a big paint spot just before going through a kind of alley.",Waste,Chemical waste,Paint on the street,
32,"sir indicates that carbon fluid - pink fluid, was chemically obtained from a car that drove in at the north end. Can this be cleaned as soon as possible?",Waste,Chemical waste,Paint on the street,
33,paint cans on both street corners ,Waste,Chemical waste,Paint on the street,
34,Been there for weeks. Must be removed,Waste,Chemical waste,Paint on the street,
35,The green waste containers that are in the ground have white paint stains on paving stones. It is not a face and I always have to check under my shoe soles to see if there is paint on it. Please refer to tile cleaning,Waste,Chemical waste,Paint on the street,
36,half the sidewalk is full of paint,Waste,Chemical waste,Paint on the street,
37,There is paint on the street. This was dropped by someone there. Can this be removed.,Waste,Chemical waste,Paint on the street,
38,Paint on road surface,Waste,Chemical waste,Paint on the street,
39,Paint on the roadway,Waste,Chemical waste,Paint on the street,
40,Paint residue on sidewalk.,Waste,Chemical waste,Paint on the street,
41,There are paint cans on the public space. Please see the photo.,Waste,Chemical waste,Paint on the street,
42,Paint on the bike path ,Waste,Chemical waste,Paint on the street,
43,Paint cans are on the street.,Waste,Chemical waste,Paint on the street,
44,paint on the street,Waste,Chemical waste,Paint on the street,
45,Several paint containers on the sidewalk,Waste,Chemical waste,Paint on the street,
46,3 concrete posts on the road,Waste,Bulky waste,Construction and demolition waste,
47,"Old cans of paint have been placed with the bulky waste, bulky waste has already been removed last week, but the paint cans have been left standing. Children play with this and the leftover paint ends up on the street.",Waste,Chemical waste,Paint on the street,
48,There is paint on the sidewalk and also on the Orac. Can it be cleaned up?,Waste,Chemical waste,Paint on the street,
49,Green bin with paint waste,Waste,Chemical waste,Paint on the street,
50,"There is paint on the floor next to the container, including over the container.",Waste,Chemical waste,Paint on the street,
51,"At the large intersection at the traffic lights, a large bucket of paint of about 25 liters has fallen. It is still wet and scattered on the sidewalk and cycle path. Please clean.",Waste,Chemical waste,Paint on the street,
52,"Witsel on the sidewalk and the containers that are being driven through, so that the whole sidewalk no longer looks! We do our best to keep it tidy and then this. Previously reported via MOR for old and new!",Waste,Chemical waste,Paint on the street,
53,VIA TWITTER (SEE PICTURE) -------------------------------------------- ---------------------- Paint remnants In the Berlin street near the corner of Dublinweg at 34,Waste,Chemical waste,Paint on the street,
54,"There is paint waste in the street, this is also scattered on the ground",Waste,Chemical waste,Paint on the street,
55,There are cans of paint on the street and some wooden splinters. It is in front of a tree that is sick.,Waste,Chemical waste,Paint on the street,
56,there is paint on the street /. sir has reported this before,Waste,Chemical waste,Paint on the street,
57,Pots of paint and oil at the ORAC'S,Waste,Chemical waste,Paint on the street,
58,This is a mountain of sand that has remained after the repair of a burst water pipe,Waste,Bulky waste,Construction and demolition waste,
59,"In the Landzijde at number 335, glass shards have been left behind after the collection of bulky waste. Can this still be picked up?",Waste,Bulky waste,Construction and demolition waste,
60,parking lot uithof illegal dumping ,Waste,Bulky waste,Construction and demolition waste,
61,"Sacks of bricks dumped, scandalous!",Waste,Bulky waste,Construction and demolition waste,
62,Ms indicates that the neighbors have dumped a whole mountain of sand in a parking lot in the street. This is because they have tiled their garden. This mountain has been there for a week now and dogs and cats do their business in it. can dot be picked up?,Waste,Bulky waste,Construction and demolition waste,
63,Erasmusweg t / o house number 1935 and lp 171: mattress green side hk hengelolaan lp 1: tires hertenrade corner hengelolaan lp 38 tires,Waste,Bulky waste,Construction and demolition waste,
64,Construction and demolition waste,Waste,Bulky waste,Construction and demolition waste,
65,asbestos is the second report,Waste,Bulky waste,Construction and demolition waste,
66,Someone has placed large buckets of paint next to the underground waste containers. Could these please be disposed of?,Waste,Chemical waste,Paint on the street,
67,A pot has been put down with paint. Can this be removed?,Waste,Chemical waste,Paint on the street,
68,there are 3 buckets of paint next to the PMD container ,Waste,Chemical waste,Paint on the street,
69,there are 2 buckets of paint on the street like to remove,Waste,Chemical waste,Paint on the street,
70,9 paint cans since last week,Waste,Chemical waste,Paint on the street,
71,White wall paint on the street,Waste,Chemical waste,Paint on the street,
72,Bucket of white wall paint on the street.,Waste,Chemical waste,Paint on the street,
73,"more chemical waste placed with previously (11.08.2020) reported chemical waste next to containers. because it remains standing, people simply place more on it.",Waste,Chemical waste,Paint on the street,
74,Garbage truck this morning.,Waste,Chemical waste,Paint on the street,
75,The whole piece is covered with paint and lime. The bag of lime and paint is on the corner. Can this be cleaned up and the culprit be found ???,Waste,Chemical waste,Paint on the street,
76,"looks like paint stains, please check",Waste,Chemical waste,Paint on the street,
77,"paint on clinkers, perhaps it can be looked at",Waste,Chemical waste,Paint on the street,
78,Litter on the street Paint ,Waste,Chemical waste,Paint on the street,
79,Are no words for ...,Waste,Chemical waste,Paint on the street,
80,chemical waste on the street. paint buckets and garbage bags with paint residue.,Waste,Chemical waste,Paint on the street,
81,6 full paint buckets next to underground container,Waste,Chemical waste,Paint on the street,
82,bucket of paint on the street,Waste,Chemical waste,Paint on the street,
83,buckets of paint on the street,Waste,Chemical waste,Paint on the street,
84,at the Slachthuisstraat / Laakweg flat there is a bucket of paint where the paint has run out. please have this removed.,Waste,Chemical waste,Paint on the street,
85,3x buckets of paint on the street.,Waste,Chemical waste,Paint on the street,
86,2x buckets of paint on the street,Waste,Chemical waste,Paint on the street,
87,"Spray cans were used on the street, this was done for the CPC. Mnr asks if it can be removed?",Waste,Chemical waste,Paint on the street,
88,"Schlegelstraat 61 had renovation. After the renovation, they left a large bucket of paints on the street as waste. The neighbors want to make a report together.",Waste,Chemical waste,Paint on the street,
89,"A bucket of paint has been knocked over on the cycle path for number 135. Please clean up asap, it concerns high-gloss paint.",Waste,Chemical waste,Paint on the street,
90,Paint bucket on the street.,Waste,Chemical waste,Paint on the street,
91,"There are all white paint residues next to the container, please remove this. ",Waste,Chemical waste,Paint on the street,
92,Paint on sidewalk and tram track.,Waste,Chemical waste,Paint on the street,
93,There are pails of paint and paper next to the oracs,Waste,Chemical waste,Paint on the street,
94,Paint bucket overturned on street tiles where children play.,Waste,Chemical waste,Paint on the street,
95,"The rest of the roadblock (3 meters long red-white) “roams” in the meantime elsewhere in the street .... in the meantime reported 4 times, I believe .....",Waste,Bulky waste,Construction and demolition waste,
96,Stacks of white bricks in 2 parking spaces for 2 weeks There is very little parking space in this neighborhood.,Waste,Bulky waste,Construction and demolition waste,
97,"van has spilled pot paint, from N14 to Volga",Waste,Chemical waste,Paint on the street,
98,"Yesterday the customer had an appointment with bulky waste, this was also neatly collected. However, other people have added various items including a box with paint. The customer has received a message in the letterbox that he was not allowed to offer this as bulky waste, but he has not placed it outside, but has deposited it with his bulky waste.",Waste,Chemical waste,Paint on the street,
99,There is an oil trail on the road.,Waste,Chemical waste,Paint on the street,
100,"At the ORACs, paint was placed in plastic containers. ",Waste,Chemical waste,Paint on the street,
101,Paint pots have been on the sidewalk since 16-04-2020.,Waste,Chemical waste,Paint on the street,
102,Sidewalk and underground container covered in paint.,Waste,Chemical waste,Paint on the street,
103,Heavy rocks to orac,Waste,Bulky waste,Construction and demolition waste,
104,"Mrs. van der Geest called for the following. When picking up a bulky waste appointment, a hose from the waste truck broke. Because of this all oil got on the road. Picking up the dirt. Paint got on the floor and on her car. And glass has fallen, this is also a sidewalk.",Waste,Chemical waste,Paint on the street,
105,"Scouts left behind. On Thursday, October 8, bulky waste was put. The buckets were not included. Possibly from the neighbors Henk Kompagnelaan 48.",Waste,Chemical waste,Paint on the street,
106,Buckets of paint on the street,Waste,Chemical waste,Paint on the street,
107,"About 6 interior doors were at ORAC, garbage bags have been removed, Christmas trees have also been removed, but the doors have been placed against a wall",Waste,Bulky waste,Construction and demolition waste,
108,"there is white paint on the roadway, and cars have driven through it. ",Waste,Chemical waste,Paint on the street,
109,Big bucket of paint,Waste,Chemical waste,Paint on the street,
110,There is paint on the street that has been squeezed by the grabs of the bulky waste and now there is paint on the street. There is also a refrigerator that has been put outside.,Waste,Chemical waste,Paint on the street,
111,A trail of paint was left behind during the construction of the white crosses of a disabled parking lot. Can this be cleaned?,Waste,Chemical waste,Paint on the street,
112,"Mr. reports that there are (mountain) sand spread throughout the street, including the side streets. This creates dangerous situations, as the whole street has become very slippery.",Waste,Bulky waste,Construction and demolition waste,
113,two cylinders of laughing gas on the street. Please delete as soon as possible,Waste,Chemical waste,Small toxic waste,
114,"Please remove all tiles and broken tiles in green. For questions, please contact 0613883016.",Waste,Bulky waste,Construction and demolition waste,
115,behind the barbed wire lies an elongated black barrel with grains. The reporter indicates that this may come from a cannabis plantation. Please delete.,Waste,Bulky waste,Construction and demolition waste,
116,"There is a lot of construction and demolition waste along the footpath in the dunes, just behind the fence. It is located around and behind the Tresure Hunt property. Please delete.",Waste,Bulky waste,Construction and demolition waste,
117,Fallen pots of paint put on the side of the road. Please delete.,Waste,Chemical waste,Paint on the street,
118,Bucket of white paint on the street,Waste,Chemical waste,Paint on the street,
119,See MOR1964336. Attempt 2 Reported about paint over the square and gray concrete blocks Nobody seen it doesn't look like Why nothing happens to it 😡😡😡😡,Waste,Chemical waste,Paint on the street,
120,Paint on the roadway. See picture.,Waste,Chemical waste,Paint on the street,
121,Someone has lost a bucket of paint and has not cleared it out .... at Redding's brigade between Veronica and Boonoonoonos,Waste,Chemical waste,Paint on the street,
122,Not quite sure if this is the right category. This is because the report concerns molten plastic on the street. ,Waste,Chemical waste,Paint on the street,
123,"Fibreboards, probably ceiling plates, placed near a construction container. There is a section on the sidewalk next to the container. Owner construction container does not know whether it contains asbestos.",Waste,Bulky waste,Construction and demolition waste,
124,Big paint stain on the road. ,Waste,Chemical waste,Paint on the street,
125,Paint dumped on public roads 2 cans,Waste,Chemical waste,Paint on the street,
126,there is a bucket of paint next to the oracs ,Waste,Chemical waste,Paint on the street,
127,An arrow has been made on the ground with paint. Sir wants to know if this is done by the municipality.,Waste,Chemical waste,Paint on the street,
128,Can someone clean up the spilled white paint in front of the plastic container on the Kamperfolielaan? There's a huge mess. Source: contact form 05-01-2021 10:39.,Waste,Chemical waste,Paint on the street,
129,A pot of paint has gone all over the street and it is a big dirty place and a child has already walked through it with her shoes.,Waste,Chemical waste,Paint on the street,
130,two buckets of paint next to orac,Waste,Chemical waste,Paint on the street,
131,Paint was left with my bulky waste and was not collected.,Waste,Chemical waste,Paint on the street,
132,"New building materials delivered to the sidewalk. One pallet with bags of MP 75 and a large pallet with Diamond Board. Both Enforcement and I have done more than our best to find out who owns this. Owner unknown. It has currently been there for about 10 days. Please remove, also the loose bags next to the pallet. If the car gets in the way on the disabled parking space, you can ring the bell at number 191. The owner lives here. If you have any questions or comments, please contact me (assistant environmental manager Segbroek, 06 30 64 36 22, absent on Wednesday)",Waste,Bulky waste,Construction and demolition waste,
133,There are pallets and planks in the park in the park. (see message MOR1969120),Waste,Bulky waste,Construction and demolition waste,
134,"It is presumably frying fat that was in a pan that has been removed. Only this has not been removed. Could be paint too, but is kind of a chemical thing. Please remove as soon as possible (see photo).",Waste,Chemical waste,Paint on the street,
135,Tiles deposited in green.,Waste,Bulky waste,Construction and demolition waste,
136,Construction waste left behind after laying 5G cable,Waste,Bulky waste,Construction and demolition waste,
137,In the Groenewegje at number 100 there are 2 large bags with stones. For more than a week window woman blocked,Waste,Bulky waste,Construction and demolition waste,
138,In the Laan van Wateringse Veld at 1389 (along the cycle path) are pavement tiles. Can these be removed.,Waste,Bulky waste,Construction and demolition waste,
139,These pieces have been forgotten here,Waste,Bulky waste,Construction and demolition waste,
140,"After construction work on the adjacent apartment complex, three construction fences have been left in a parking lot. Between the construction fences is a metal box, a water hose, some packaging materials, loose stones and other goods. There is a pile of bricks next to the construction fences. The aforementioned goods have been aimlessly on the street for several months. I am home almost daily (during the day and in the evening) and have never seen any work related to the goods. Has been reported before but sir has received an email that nothing has been found but it is still there.",Waste,Bulky waste,Construction and demolition waste,
141,"More than two weeks ago there has been work by Dunea in the street, but I think there is still a road worker to come by? Dangerous, because many children also play in the street here. Thanks in advance!",Waste,Bulky waste,Construction and demolition waste,
142,"Mlder indicates that there is sand on the street, please remove it.",Waste,Bulky waste,Construction and demolition waste,
143,"After the works, the street was not left tidy. There is a lot of sand and a lot of construction waste. Please clean up",Waste,Bulky waste,Construction and demolition waste,
144,"See MOR2087826, this report has not been handled properly, according to sir, a lot of sand has remained on the sidewalk. The gentleman is elderly and hard of hearing and finds it annoying to keep calling about the same thing, perhaps the department can see if there is another solution for all the sand that has been left behind. Previous report: Mister indicates that work has now been completed in the street, but a lot of sand has been left behind which causes nuisance in the street. Older people are afraid that the virus will move in the sand? Please send a road sweeper.",Waste,Bulky waste,Construction and demolition waste,
145,A lot of sand has remained after the road works. This has been swept up by the reporter. This sand must be cleaned up because it blows all over the street. The residents suffer a lot from this.,Waste,Bulky waste,Construction and demolition waste,
146,There are red pipes near the front door of Mrs. left behind by the municipality after construction work.,Waste,Bulky waste,Construction and demolition waste,
147,Broken concrete thing seems dangerous to me,Waste,Bulky waste,Construction and demolition waste,
148,"After work, leave behind a wooden spinning reel where you can turn cables. ",Waste,Bulky waste,Construction and demolition waste,
149,"Mr. indicates that there is still a mountain of sand on the sidewalk after work on the street. The street has been straightened again, but the mountain sand is still there.",Waste,Bulky waste,Construction and demolition waste,
150,"Dear folks, these rubber 'feet' have been in the grass for months. At the very top of the stone steps. This simply does not belong in nature and is part of the work of paving these stairs. Hopefully it will be removed soon. With thanks to Saskia van Niekerk, Eye & Ear project.",Waste,Bulky waste,Construction and demolition waste,
151,"The gentleman indicates that there were work on the Monsignieur Nolenslaan. It was about removing asphalt. Now they have left asphalt in the form of grit and granules there. Can this still be picked up? It is not pleasant for the residents. The largest part has been picked up, but there is still part on the sidewalk that has remained.",Waste,Bulky waste,Construction and demolition waste,
152,"In the Teniersplantsoen near the gate of the farm, there is a bucket with paint near a tree.",Waste,Bulky waste,Construction and demolition waste,
153,Mister indicates that the company Vego numnsdorp has been laying fiber optics on the Haagweg. This would be for the municipality of Westland. Mr. indicates that the workers are ready and have left the things with bags of sand and pallets of stones. Mister indicates that they have a 2-week holiday and that would mean that the items will remain there for that long. Can this be picked up?,Waste,Bulky waste,Construction and demolition waste,
154,"A few weeks ago already asked to remove these steel plates !! Last night while walking the dog my wife tripped over the plates !! Dangerous, especially when it is dark.",Waste,Bulky waste,Construction and demolition waste,
155,Please clear passage for the elderly,Waste,Bulky waste,Construction and demolition waste,
156,"Clean up your mess at the municipality, stones behind the bus stop",Waste,Bulky waste,Construction and demolition waste,
157,Please replace block for nuisance youth.,Waste,Bulky waste,Construction and demolition waste,
158,"Mrs. now reports for the 3rd time about the construction waste that was left behind after the work on laying fiber optics. At the last report it is stated that nothing was found, but Mrs. indicates that it has been there for months. Against the lamppost, near house number 380. This concerns a red / white gate to close the road and an orange pawn. Please remove asap.",Waste,Bulky waste,Construction and demolition waste,
159,The street has been re-paved and since then there has been a lot of sand on the street. Mrs. has passed this on before Christmas but it is still there. Please remove it urgently.,Waste,Bulky waste,Construction and demolition waste,
160,"Work was carried out on the lampposts last Thursday and Friday. The entire street has been cleared, but a pile of sand and pawns has been left behind. Can this be removed?",Waste,Bulky waste,Construction and demolition waste,
161,Large tube almost 6 meters long along the ditch ,Waste,Bulky waste,Construction and demolition waste,
162,Washbasin placed with the bulky waste,Waste,Bulky waste,Construction and demolition waste,
163,Please have several bags of gravel stones and loose pieces of rubble dumped on the public road removed,Waste,Bulky waste,Construction and demolition waste,
164,Reporter indicates that there are two construction and demolition waste containers in front of her restaurant. but the containers are overcrowded and in the evening there are people rooting in the containers to see if there is anything to get there. Ms does not like the idea that this represents her restaurant for the customers who have to see this when they are eating. There are also more of these containers in the street that are overfull. Can anything be done about this?,Waste,Bulky waste,Construction and demolition waste,
165,There is a pallet against a bicycle.,Waste,Bulky waste,Construction and demolition waste,
166,"Construction waste from activities of Woonvereniging Roggeveenstraat. Contains sharp parts. Partially deposited by asbestos removal companies, so possibly contaminated with asbestos",Waste,Bulky waste,Construction and demolition waste,
167,"After work, everything and a little has been left behind. Mr. indicates that there are already a few weeks there.",Waste,Bulky waste,Construction and demolition waste,
168,"A container has been removed from Tafelberg Street, but a lot of bulky waste has remained in the parking lot (doors made of wood, paint cans, sleeping bag, broken mirror). Can this be removed.",Waste,Bulky waste,Construction and demolition waste,
169,Construction waste from roofing work on Roggeveenstraat 32/46.,Waste,Bulky waste,Construction and demolition waste,
170,"Since October there are 2 large bags of sand and broken tiles, there is also a door, and leftover building material.",Waste,Bulky waste,Construction and demolition waste,
171,A big plate has been on the street for 5 days now.,Waste,Bulky waste,Construction and demolition waste,
172,It concerns a bag of cement that is there next to the fence there (see photo). There has also been a report to remove / remove the fences.,Waste,Bulky waste,Construction and demolition waste,
173,Bag of cement placed next to tree.,Waste,Bulky waste,Construction and demolition waste,
174,"construction waste on the street, can this be collected?",Waste,Bulky waste,Construction and demolition waste,
175,Mister has made an appointment for rubble and other residents have put grog-waste next to it.,Waste,Bulky waste,Construction and demolition waste,
176,"There is all concrete, construction waste by the trees. ",Waste,Bulky waste,Construction and demolition waste,
177,Toilet bowl car tire screen iron,Waste,Bulky waste,Construction and demolition waste,
178,Heating on the street.,Waste,Bulky waste,Construction and demolition waste,
179,Probably from Weteringkade 67 building.,Waste,Bulky waste,Construction and demolition waste,
180,WC's and shelf next to orac.,Waste,Bulky waste,Construction and demolition waste,
181,Burgen indicates that restaurant Mevlana has placed Bulky / construction waste on the street. There is a large refrigerator and large refrigerated display case.,Waste,Bulky waste,Construction and demolition waste,
182,Construction waste on the street,Waste,Bulky waste,Construction and demolition waste,
183,Via BuitenBeter: Bulky waste Please remove 2 broken toilet pots next to the Orac. ,Waste,Bulky waste,Construction and demolition waste,
184,Construction and demolition waste is currently being thrown on the sidewalk.,Waste,Bulky waste,Construction and demolition waste,
185,There is a steel rack with cardboard boxes that someone dumped at a transformer house. Mnr suspects it is for sale and he saw a day ago a few boys who wanted to set it on fire and they ran away when they saw mnr.,Waste,Bulky waste,Construction and demolition waste,
186,"Illegally dumped construction waste after renovation by order of Haagse Pandjes Brigade from the garden of Wijnand Nuyenstraat 2. Located on the corner of Eeckhoutstraat and Krusemanstraat opposite number 10, behind Wijnand Nuyenstraat 7 Reporting was made on 30-3 with number MOR2032288, but it was a car not everything has been included and now there is much more to it.",Waste,Bulky waste,Construction and demolition waste,
187,The gentleman indicates that 5 blue bags filled with stones have been deposited on the sidewalk. One of the bags is already half torn.,Waste,Bulky waste,Construction and demolition waste,
188,bulky waste 5 m3,Waste,Bulky waste,Construction and demolition waste,
189,Shopping car and bicycle wreck can be removed,Waste,Bulky waste,Construction and demolition waste,
190,Natural stone has been dumped on the sidewalk.,Waste,Bulky waste,Construction and demolition waste,
191,"strips of plastic roofing, large plastic tarpaulin, garbage bag, etc., etc.",Waste,Bulky waste,Construction and demolition waste,
192,Bulky waste at the orac,Waste,Bulky waste,Construction and demolition waste,
193,"Ms indicates that a lot of construction waste is piloted. They are renovating and throwing rubbish from top to bottom opposite Mrs. They do not use a dust cooker, so the dust blows everywhere. Can anyone go here please?",Waste,Bulky waste,Construction and demolition waste,
194,"Mr. indicates that all bulky waste and debris and construction waste has been dumped on his construction site, including window frames, tiles, glass, old bumpers, cardboard boxes, etc. Mr. has a big problem because of this because his company is building there and tomorrow large containers will be placed that cannot be placed here now. Mr. asks whether enforcement can look into this asap. Mr. has also received the license plate of neighbors from the residents who saw who dumped the glass. 92-BS-JJ",Waste,Bulky waste,Construction and demolition waste,
195,Toilet bowl on the street,Waste,Bulky waste,Construction and demolition waste,
196,"Recently there have been cable works in Kneuterdijk near Parkstraat. Regards, Hr van Veen Source: e-mail 14-05-2020 18:27.",Waste,Bulky waste,Construction and demolition waste,
197,There is a batch of paving stones + pallets on the sidewalk. In the middle of the sidewalk is the pallet with garden waste etc.,Waste,Bulky waste,Construction and demolition waste,
198,There is a toilet on the street. Can this be removed.,Waste,Bulky waste,Construction and demolition waste,
199,Nuisance from a container that is already in the street before the Corona event. It keeps blowing loose. Provides a lot of noise pollution. Work on number 42 has been halted ever since.,Waste,Bulky waste,Construction and demolition waste,
200,"broken toilet bowl, has been here for a while",Waste,Bulky waste,Construction and demolition waste,
201,Big pieces of stone at orac.,Waste,Bulky waste,Construction and demolition waste,
202,bulky waste 10 m3,Waste,Bulky waste,Construction and demolition waste,
203,"After paving work, a mountain of waste remained. Been there for weeks.",Waste,Bulky waste,Construction and demolition waste,
204,It looks like there is burnt construction waste. See picture. Can this be cleaned up please?,Waste,Bulky waste,Construction and demolition waste,
205,"Mr. calls after previous report MOR1929838. There have been a pile of large tiles in front of the door for months (about 8). Please remove these, especially because of parking danger.",Waste,Bulky waste,Construction and demolition waste,
206,Bulky waste misplaced by another party. Stands in the way of the restaurant de Tapperij. Whether this can be removed.,Waste,Bulky waste,Construction and demolition waste,
207,"Bulky waste was placed outside, however people have added a masonry tub full of stones and 2 bags of stones. ",Waste,Bulky waste,Construction and demolition waste,
208,Bulky waste bags dumped with soil,Waste,Bulky waste,Construction and demolition waste,
209,Pallet on the street for days.,Waste,Bulky waste,Construction and demolition waste,
210,Bathtub is waiting for guests in the Sirtemastraat!,Waste,Bulky waste,Construction and demolition waste,
211,"For a long time, bulky waste and construction and demolition waste next to a waste container. Just keeps getting more",Waste,Bulky waste,Construction and demolition waste,
212,Mister indicates that a wheelie bin full of construction and demolition waste has been placed along the road. The request to remove it. Sir has suspected that it comes from number 76B.,Waste,Bulky waste,Construction and demolition waste,
213,"we had reported this earlier, other things were taken away by the contractor who is working on road works, but they still left sand here",Waste,Bulky waste,Construction and demolition waste,
214,"Base the market is building a tower of babylon with baskets. This is not allowed by the rules of the municipality. In addition, they are not allowed to place baskets outside at all. Finally, they place the pallet next to the sidewalk, making the walkway very narrow. This has been going on for years when will you really pick it up !!!!",Waste,Bulky waste,Construction and demolition waste,
215,Stones and tiles on the street,Waste,Bulky waste,Construction and demolition waste,
216,Organic waste container with debris ,Waste,Bulky waste,Construction and demolition waste,
217,"Mr. indicates that he had an appointment on 27-8 for bulky waste (202008100164). Everything was picked up neatly, only Mr. indicates that there have been people who have also put their dirt there, such as a sink and two buckets of paint. Sir would like to report this, so that they can be picked up for the time being.",Waste,Bulky waste,Construction and demolition waste,
218,The reporter indicates that there has probably been a public toilet in front of the door since Monday. None of the neighbors know about it. So it says incorrectly and must go. Please have your request removed.,Waste,Bulky waste,Construction and demolition waste,
219,Box of tiles next to the containers,Waste,Bulky waste,Construction and demolition waste,
220,There is a lot of litter in the park ,Waste,Bulky waste,Construction and demolition waste,
221,Heap of sand and stones thrown up. There is a number of months. Can this be picked up,Waste,Bulky waste,Construction and demolition waste,
222,There is a used scaffolding in the middle of the sidewalk. The scaffolding is not in use at the moment. Scaffolding looks very unsafe.,Waste,Bulky waste,Construction and demolition waste,
223,Construction waste from the contractor next to the debris container. Contractor belongs to project Van Speijkstraat 51 / 51A,Waste,Bulky waste,Construction and demolition waste,
224,"The customer indicates that he has an appointment for bulky waste today, but that someone dumped 10 white bags of construction and demolition waste with it last night. She heard the van.",Waste,Bulky waste,Construction and demolition waste,
225,There is a blue container where all construction waste is blown out.,Waste,Bulky waste,Construction and demolition waste,
226,shower cubicle and a box with a kettle in it,Waste,Bulky waste,Construction and demolition waste,
227,Mister indicates that there is a lot of litter (bulky waste) outside on the public road and more than 1 week ,Waste,Bulky waste,Construction and demolition waste,
228,Building waste on the street (blue toilet cubicle),Waste,Bulky waste,Construction and demolition waste,
229,BuitenBeter notification number 9195488 Status Sent Problem Litter on the street Description - Address Potchefstraat 1 City The Hague photo cannot be uploaded looks like a radiator against a purple wall,Waste,Bulky waste,Construction and demolition waste,
230,Wooden boards and plasterboard dumped along the way.,Waste,Bulky waste,Construction and demolition waste,
231,Toilet bowl dumped on the street,Waste,Bulky waste,Construction and demolition waste,
232,"there is a toilet bowl and cardboard box on the sidewalk,",Waste,Bulky waste,Construction and demolition waste,
233,"Construction and demolition waste that is at the door, people have also put bulky waste.",Waste,Bulky waste,Construction and demolition waste,
234,The local resident has re-tiled his garden (around the time that the work on the street started) and has not had surplus soil collected. The bags and chair have been there for several months now.,Waste,Bulky waste,Construction and demolition waste,
235,Pallet on the street,Waste,Bulky waste,Construction and demolition waste,
236,There are building plates in the parking lot here. Was unloaded by construction contractor on 21-10 at 0ng 06:00 and has not been picked up since. Neighbors complain that 2 parking spaces are being occupied. And the mobility scooters cannot pass it. Is a dangerous situation if they drive up to get through. I think they are missing / forgotten to pick up. Would it please be removed asap.,Waste,Bulky waste,Construction and demolition waste,
