,Description,Category,SubCategory1,SubCategory2,SubCategory3
30,"It is still wet, please take action.",Waste,Chemical waste,Chemical waste,Chemical waste
31,Everyone rides through the fallen paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
32,Everyone cycles through the area when paint falls on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
33,Everyone rides through the fallen paint in the area.,Waste,Chemical waste,Chemical waste,Chemical waste
34,Can this be cleaned up?,Waste,Chemical waste,Chemical waste,Chemical waste
35,There is a bucket of paint in the street.,Waste,Chemical waste,Chemical waste,Chemical waste
36,Can a bucket of paint be cleaned up?,Waste,Chemical waste,Chemical waste,Chemical waste
37,There are spots with paint all over the street because the bus is broken.,Waste,Chemical waste,Chemical waste,Chemical waste
38,There is black and white on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
39,Black and white are on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
40,Black and white are the colors on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
41,Black and white are on the sidewalk at the Kraijenhoffstraat.,Waste,Chemical waste,Chemical waste,Chemical waste
42,There is paint on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
43,The sidewalk has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
44,There is a sidewalk at the expedition.,Waste,Chemical waste,Chemical waste,Chemical waste
45,Paint on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
46,There is a paint brush on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
47,The street has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
48,There is paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
49,Someone is painting on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
50,Everyone is walking through a fallen paint pot as it enters a store.,Waste,Chemical waste,Chemical waste,Chemical waste
51,Everyone walks through a fallen paint pot as it enters a store.,Waste,Chemical waste,Chemical waste,Chemical waste
52,Everyone is walking through the street when a paint pot falls and enters the store.,Waste,Chemical waste,Chemical waste,Chemical waste
53,There are buckets of paint.,Waste,Chemical waste,Chemical waste,Chemical waste
54,There are 3 buckets of paint.,Waste,Chemical waste,Chemical waste,Chemical waste
55,There are three buckets of paint.,Waste,Chemical waste,Chemical waste,Chemical waste
56,Three buckets of paint.,Waste,Chemical waste,Chemical waste,Chemical waste
57,Please stop painting on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
58,Please don't paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
59,There is paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
60,Paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
61,Paint on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
62,Please stop painting on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
63,Please don't paint on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
64,There is paint on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
65,The paint fell by a person.,Waste,Chemical waste,Chemical waste,Chemical waste
66,There is paint falling by a passerby.,Waste,Chemical waste,Chemical waste,Chemical waste
67,The paint is falling by a person.,Waste,Chemical waste,Chemical waste,Chemical waste
68,Someone is painting a street by a passerby.,Waste,Chemical waste,Chemical waste,Chemical waste
69,The paint falls by a person.,Waste,Chemical waste,Chemical waste,Chemical waste
70,Please clean the street.,Waste,Chemical waste,Chemical waste,Chemical waste
71,Mr said to clean the street.,Waste,Chemical waste,Chemical waste,Chemical waste
72,There are paint stains on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
73,The construction container has paint stains on it.,Waste,Chemical waste,Chemical waste,Chemical waste
74,The street has paint stains on it.,Waste,Chemical waste,Chemical waste,Chemical waste
75,There are paint stains around a construction container.,Waste,Chemical waste,Chemical waste,Chemical waste
76,There are paint stains on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
77,The sidewalk has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
78,The sidewalk is covered in paint.,Waste,Chemical waste,Chemical waste,Chemical waste
79,There is paint on the ground.,Waste,Chemical waste,Chemical waste,Chemical waste
80,The sidewalk has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
81,There is a sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
82,There is a paint brush on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
83,You can paint on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
84,The entire street has traces of a paint pot that fell on it.,Waste,Chemical waste,Chemical waste,Chemical waste
85,Entire street has traces of a paint pot that fell on it.,Waste,Chemical waste,Chemical waste,Chemical waste
86,Entire street has trace of paint pot that fell on it.,Waste,Chemical waste,Chemical waste,Chemical waste
87,There are paint pots in the street.,Waste,Chemical waste,Chemical waste,Chemical waste
88,The oracs have paint pots in the street.,Waste,Chemical waste,Chemical waste,Chemical waste
89,"According to Mr., the buckets of paint that were not taken by bulky waste were put on the street by the neighbors who had a waste appointment on Monday.",Waste,Chemical waste,Chemical waste,Chemical waste
90,There is paint on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
91,The road has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
92,Paint is on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
93,There are two pots of paint.,Waste,Chemical waste,Chemical waste,Chemical waste
94,There are pots of paint.,Waste,Chemical waste,Chemical waste,Chemical waste
95,Two pots of paint.,Waste,Chemical waste,Chemical waste,Chemical waste
96,There is a trail of latex paint in the street.,Waste,Chemical waste,Chemical waste,Chemical waste
97,It's a good idea to remove latex paint from the street.,Waste,Chemical waste,Chemical waste,Chemical waste
98,It would be great to remove a whole paint trail or latex paint from the street.,Waste,Chemical waste,Chemical waste,Chemical waste
99,A white paint trail is visible on the street when I walk back towards Torenstraat after depositing my empty bottles and plastic in the bins opposite Korte Vleerstraat 92-110.,Waste,Chemical waste,Chemical waste,Chemical waste
100,A white paint trail can be seen on the street when I walk back to Torenstraat after depositing my bottles and plastic in the bins.,Waste,Chemical waste,Chemical waste,Chemical waste
101,The carbon fluid was obtained from a car that drove in at the north end.,Waste,Chemical waste,Chemical waste,Chemical waste
102,Can the carbon fluid be cleaned as soon as possible?,Waste,Chemical waste,Chemical waste,Chemical waste
103,Is it possible to clean this carbon fluid from the car that drove in at the north end?,Waste,Chemical waste,Chemical waste,Chemical waste
104,"Carbon fluid - pink fluid, was obtained from a car that drove in at the north end, can this be cleaned as soon as possible?",Waste,Chemical waste,Chemical waste,Chemical waste
105,Paint cans are on the street corners.,Waste,Chemical waste,Chemical waste,Chemical waste
106,Been there for a while.,Waste,Chemical waste,Chemical waste,Chemical waste
107,Been there for a long time.,Waste,Chemical waste,Chemical waste,Chemical waste
108,It has been there for weeks.,Waste,Chemical waste,Chemical waste,Chemical waste
109,Been there for weeks.,Waste,Chemical waste,Chemical waste,Chemical waste
110,Been there for some time.,Waste,Chemical waste,Chemical waste,Chemical waste
111,I have to check under my shoes to see if there is paint on the green waste containers that are in the ground.,Waste,Chemical waste,Chemical waste,Chemical waste
112,I have to check under my shoe soles to see if there is paint on the green waste containers that are in the ground.,Waste,Chemical waste,Chemical waste,Chemical waste
113,I have to check under my shoes to see if there is paint on the paving stone that is not a face.,Waste,Chemical waste,Chemical waste,Chemical waste
114,I have to check under my shoes to see if there is paint on the paving stones that are in the green waste containers.,Waste,Chemical waste,Chemical waste,Chemical waste
115,There is a lot of paint on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
116,Half of the sidewalk has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
117,Half of the sidewalk is painted.,Waste,Chemical waste,Chemical waste,Chemical waste
118,Half of the sidewalk is covered in paint.,Waste,Chemical waste,Chemical waste,Chemical waste
119,Someone dropped off the paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
120,There is paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
121,The street has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
122,Paint on a road.,Waste,Chemical waste,Chemical waste,Chemical waste
123,The road surface has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
124,There is paint on the road surface.,Waste,Chemical waste,Chemical waste,Chemical waste
125,There is paint on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
126,The roadway has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
127,Paint on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
128,The road has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
129,There is paint on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
130,The sidewalk has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
131,The public space has paint cans on it.,Waste,Chemical waste,Chemical waste,Chemical waste
132,There are paint cans outside.,Waste,Chemical waste,Chemical waste,Chemical waste
133,There are paint cans outdoors.,Waste,Chemical waste,Chemical waste,Chemical waste
134,There is a bike path.,Waste,Chemical waste,Chemical waste,Chemical waste
135,The bike path has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
136,Paint on the path.,Waste,Chemical waste,Chemical waste,Chemical waste
137,There are cans on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
138,There are paint cans outside.,Waste,Chemical waste,Chemical waste,Chemical waste
139,There are paint cans.,Waste,Chemical waste,Chemical waste,Chemical waste
140,There are paint cans outdoors.,Waste,Chemical waste,Chemical waste,Chemical waste
141,The street has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
142,There is paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
143,There is paint on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
144,Someone is painting on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
145,The street is covered in paint.,Waste,Chemical waste,Chemical waste,Chemical waste
146,There are containers on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
147,There are paint containers on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
148,Paint containers are on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
149,There are several containers on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
150,There are concrete posts on the road.,Waste,Bulky waste,Bulky waste,Bulky waste
151,The road has concrete posts on it.,Waste,Bulky waste,Bulky waste,Bulky waste
152,There are posts on the road.,Waste,Bulky waste,Bulky waste,Bulky waste
153,"The bulky waste has already been removed, but the old paint cans are still standing.",Waste,Chemical waste,Chemical waste,Chemical waste
154,Can the Orac be cleaned up?,Waste,Chemical waste,Chemical waste,Chemical waste
155,Can the Orac and the sidewalk be cleaned up?,Waste,Chemical waste,Chemical waste,Chemical waste
156,The Orac and the sidewalk have paint on them.,Waste,Chemical waste,Chemical waste,Chemical waste
157,There is a green bin with paint waste.,Waste,Chemical waste,Chemical waste,Chemical waste
158,The green bin has paint waste.,Waste,Chemical waste,Chemical waste,Chemical waste
159,A green bin has paint waste.,Waste,Chemical waste,Chemical waste,Chemical waste
160,There is paint on the floor near the container.,Waste,Chemical waste,Chemical waste,Chemical waste
161,The floor is covered in paint next to the container.,Waste,Chemical waste,Chemical waste,Chemical waste
162,There is a container covered in paint.,Waste,Chemical waste,Chemical waste,Chemical waste
163,The container is covered in paint.,Waste,Chemical waste,Chemical waste,Chemical waste
164,The sidewalk and underground container are covered in paint.,Waste,Chemical waste,Chemical waste,Chemical waste
165,A container is covered in paint.,Waste,Chemical waste,Chemical waste,Chemical waste
166,There is a bucket of paint that fell at the intersection at the traffic lights.,Waste,Chemical waste,Chemical waste,Chemical waste
167,A bucket of paint has fallen at the intersection and is scattered on the sidewalk and cycle path.,Waste,Chemical waste,Chemical waste,Chemical waste
168,There is a bucket of paint that fell at the traffic lights on the sidewalk and cycle path.,Waste,Chemical waste,Chemical waste,Chemical waste
169,There is a bucket of paint on the sidewalk and cycle path at the intersection.,Waste,Chemical waste,Chemical waste,Chemical waste
170,We do our best to keep it tidy and then this. Previously reported via MOR for old and new!,Waste,Chemical waste,Chemical waste,Chemical waste
171,"We do our best to keep it tidy and then this, because the whole sidewalk no longer looks!",Waste,Chemical waste,Chemical waste,Chemical waste
172,We do our best to keep it tidy and then this.,Waste,Chemical waste,Chemical waste,Chemical waste
173,There are paint remnants in the Berlin street near the corner of Dublinweg.,Waste,Chemical waste,Chemical waste,Chemical waste
174,Paint remnants are in the Berlin street near the corner of Dublinweg.,Waste,Chemical waste,Chemical waste,Chemical waste
175,The Berlin street is near the corner of Dublinweg.,Waste,Chemical waste,Chemical waste,Chemical waste
176,There is paint waste in the street and on the ground.,Waste,Chemical waste,Chemical waste,Chemical waste
177,Paint waste is scattered on the ground in the street.,Waste,Chemical waste,Chemical waste,Chemical waste
178,There are cans of paint in front of a tree.,Waste,Chemical waste,Chemical waste,Chemical waste
179,The street has paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
180,There is paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
181,There is paint on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
182,Sir has reported before that there is paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
183,There are pots of paint and oil.,Waste,Chemical waste,Chemical waste,Chemical waste
184,There are pots of paint and oil in the ORAC's.,Waste,Chemical waste,Chemical waste,Chemical waste
185,Pots of paint and oil are located at the ORAC's.,Waste,Chemical waste,Chemical waste,Chemical waste
186,The repair of a burst water pipe left a mountain of sand.,Waste,Bulky waste,Bulky waste,Bulky waste
187,"After the repair of a burst water pipe, this is a mountain of sand.",Waste,Bulky waste,Bulky waste,Bulky waste
188,There is a mountain of sand left after a burst water pipe.,Waste,Bulky waste,Bulky waste,Bulky waste
189,There is a mountain of sand that has remained after a burst water pipe.,Waste,Bulky waste,Bulky waste,Bulky waste
190,There are glass shards left in the Landzijde at number 335.,Waste,Bulky waste,Bulky waste,Bulky waste
191,The Landzijde at number 335 has glass shards left behind after the collection of bulky waste.,Waste,Bulky waste,Bulky waste,Bulky waste
192,There is illegal dumping in the parking lot.,Waste,Bulky waste,Bulky waste,Bulky waste
193,The parking lot has illegal dumping.,Waste,Bulky waste,Bulky waste,Bulky waste
194,Sacks of bricks were dumped.,Waste,Bulky waste,Bulky waste,Bulky waste
195,Sacks of bricks are scandalous.,Waste,Bulky waste,Bulky waste,Bulky waste
196,Sacks of bricks were dumped scandalously.,Waste,Bulky waste,Bulky waste,Bulky waste
197,The neighbors dumped a mountain of sand in the parking lot because they tiled their garden.,Waste,Bulky waste,Bulky waste,Bulky waste
198,The neighbors dumped a mountain of sand in the street because they tiled their garden.,Waste,Bulky waste,Bulky waste,Bulky waste
199,There is a mattress green side and tires hertenrade corner.,Waste,Bulky waste,Bulky waste,Bulky waste
200,The house number is 1935 and it has a mattress green side.,Waste,Bulky waste,Bulky waste,Bulky waste
201,The house number 1935 and lp 171 is on the green side.,Waste,Bulky waste,Bulky waste,Bulky waste
202,The house number is 1935 and it has a mattress green side and tires hertenrade corner.,Waste,Bulky waste,Bulky waste,Bulky waste
203,There is a mattress green side and tires hertenrade corner in the house number 1935 and lp 171.,Waste,Bulky waste,Bulky waste,Bulky waste
204,There is construction and demolition waste.,Waste,Bulky waste,Bulky waste,Bulky waste
205,Waste from construction and demolition.,Waste,Bulky waste,Bulky waste,Bulky waste
206,The waste from construction and demolition.,Waste,Bulky waste,Bulky waste,Bulky waste
207,It is the second report.,Waste,Bulky waste,Bulky waste,Bulky waste
208,The first report was about asbestos.,Waste,Bulky waste,Bulky waste,Bulky waste
209,The second report is about asbestos.,Waste,Bulky waste,Bulky waste,Bulky waste
210,The second report is aboutAsbestos.,Waste,Bulky waste,Bulky waste,Bulky waste
211,"There are two reports, the first one is asbestos.",Waste,Bulky waste,Bulky waste,Bulky waste
212,There are buckets of paint next to the waste containers.,Waste,Chemical waste,Chemical waste,Chemical waste
213,There are buckets of paint near the underground waste containers.,Waste,Chemical waste,Chemical waste,Chemical waste
214,Can the pot be removed?,Waste,Chemical waste,Chemical waste,Chemical waste
215,Is it possible to remove a pot that has been painted?,Waste,Chemical waste,Chemical waste,Chemical waste
216,There is a pot that has been painted.,Waste,Chemical waste,Chemical waste,Chemical waste
217,Is it possible to remove a pot with paint.,Waste,Chemical waste,Chemical waste,Chemical waste
218,There are buckets of paint next to the container.,Waste,Chemical waste,Chemical waste,Chemical waste
219,There are buckets of paint near the PMD container.,Waste,Chemical waste,Chemical waste,Chemical waste
220,The PMD container has buckets of paint next to it.,Waste,Chemical waste,Chemical waste,Chemical waste
221,There are two buckets of paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
222,Two buckets of paint are on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
223,There are two buckets of paint on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
224,The street has two buckets of paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
225,There have been paint cans since last week.,Waste,Chemical waste,Chemical waste,Chemical waste
226,Last week there were 9 paint cans.,Waste,Chemical waste,Chemical waste,Chemical waste
227,Since last week there have been 9 paint cans.,Waste,Chemical waste,Chemical waste,Chemical waste
228,The street has white wall paint.,Waste,Chemical waste,Chemical waste,Chemical waste
229,There is white wall paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
230,There is a bucket of paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
231,The street has a bucket of white wall paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
232,There is a bucket of white wall paint.,Waste,Chemical waste,Chemical waste,Chemical waste
233,A bucket of paint is on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
234,People place more on it because it remains standing.,Waste,Chemical waste,Chemical waste,Chemical waste
235,People place more chemical waste next to containers because it remains standing.,Waste,Chemical waste,Chemical waste,Chemical waste
236,People place more chemical waste next to containers because it is still standing.,Waste,Chemical waste,Chemical waste,Chemical waste
237,People put more chemical waste next to containers because it remains standing.,Waste,Chemical waste,Chemical waste,Chemical waste
238,There is a garbage truck this morning.,Waste,Chemical waste,Chemical waste,Chemical waste
239,This is a garbage truck.,Waste,Chemical waste,Chemical waste,Chemical waste
240,The garbage truck is parked outside.,Waste,Chemical waste,Chemical waste,Chemical waste
241,There is a bag of paint and lime on the corner.,Waste,Chemical waste,Chemical waste,Chemical waste
242,The piece is covered with paint and lime.,Waste,Chemical waste,Chemical waste,Chemical waste
243,The piece is covered with paint and lime and there is a bag of it on the corner.,Waste,Chemical waste,Chemical waste,Chemical waste
244,It looks like paint stains.,Waste,Chemical waste,Chemical waste,Chemical waste
245,Please check that it looks like paint stains.,Waste,Chemical waste,Chemical waste,Chemical waste
246,Please check the paint stains.,Waste,Chemical waste,Chemical waste,Chemical waste
247,Does it look like paint stains?,Waste,Chemical waste,Chemical waste,Chemical waste
248,Maybe it can be looked at.,Waste,Chemical waste,Chemical waste,Chemical waste
249,Maybe it can be seen on clinkers.,Waste,Chemical waste,Chemical waste,Chemical waste
250,It might be possible to paint on clinkers.,Waste,Chemical waste,Chemical waste,Chemical waste
251,Paint can be looked at on clinkers.,Waste,Chemical waste,Chemical waste,Chemical waste
252,There is litter on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
253,There is graffiti on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
254,There is litter on the road.,Waste,Chemical waste,Chemical waste,Chemical waste
255,There is litter on the street,Waste,Chemical waste,Chemical waste,Chemical waste
256,There is trash on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
257,No words for this.,Waste,Chemical waste,Chemical waste,Chemical waste
258,There are no words for it.,Waste,Chemical waste,Chemical waste,Chemical waste
259,No words for this...,Waste,Chemical waste,Chemical waste,Chemical waste
260,Garbage bags and buckets have paint on them.,Waste,Chemical waste,Chemical waste,Chemical waste
261,Garbage bags with paint remnants on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
262,There are paint buckets next to an underground container.,Waste,Chemical waste,Chemical waste,Chemical waste
263,The paint buckets are next to the underground container.,Waste,Chemical waste,Chemical waste,Chemical waste
264,The street has a bucket of paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
265,A bucket of paint is outside.,Waste,Chemical waste,Chemical waste,Chemical waste
266,There is a bucket of paint.,Waste,Chemical waste,Chemical waste,Chemical waste
267,There is a bucket of paint outside.,Waste,Chemical waste,Chemical waste,Chemical waste
268,A bucket of paint is on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
269,There are buckets of paint outside.,Waste,Chemical waste,Chemical waste,Chemical waste
270,The street has buckets of paint on it.,Waste,Chemical waste,Chemical waste,Chemical waste
271,There are buckets of paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
272,There are buckets of paint.,Waste,Chemical waste,Chemical waste,Chemical waste
273,At the Laakweg flat there is a bucket of paint that has run out.,Waste,Chemical waste,Chemical waste,Chemical waste
274,There is a bucket of paint that has run out at the Laakweg flat.,Waste,Chemical waste,Chemical waste,Chemical waste
275,There is a bucket of paint at the Laakweg flat that needs to be removed.,Waste,Chemical waste,Chemical waste,Chemical waste
276,There are buckets of paint outside.,Waste,Chemical waste,Chemical waste,Chemical waste
277,buckets of paint on the street,Waste,Chemical waste,Chemical waste,Chemical waste
278,There are buckets of paint.,Waste,Chemical waste,Chemical waste,Chemical waste
279,There are buckets of paint on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
280,Two buckets of paint are on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
281,Is it possible to remove the spray cans from the street?,Waste,Chemical waste,Chemical waste,Chemical waste
282,Can spray cans be removed?,Waste,Chemical waste,Chemical waste,Chemical waste
283,The spray cans were used on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
284,A bucket of paints was left on the street after the renovation.,Waste,Chemical waste,Chemical waste,Chemical waste
285,They left a bucket of paint on the street as waste after the renovation.,Waste,Chemical waste,Chemical waste,Chemical waste
286,A bucket of paint was left on the street after the renovation.,Waste,Chemical waste,Chemical waste,Chemical waste
287,The cycle path has a bucket of paint knocked over.,Waste,Chemical waste,Chemical waste,Chemical waste
288,The cycle path for number 135 has a bucket of paint knocked over.,Waste,Chemical waste,Chemical waste,Chemical waste
289,There is a bucket of paint on the cycle path.,Waste,Chemical waste,Chemical waste,Chemical waste
290,There is a bucket on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
291,A bucket is on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
292,The bucket is on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
293,A bucket is painted on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
294,Please remove the white paint next to the container.,Waste,Chemical waste,Chemical waste,Chemical waste
295,The sidewalk and tram track have paint on them.,Waste,Chemical waste,Chemical waste,Chemical waste
296,Paint on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
297,The oracs have pails of paint and paper next to them.,Waste,Chemical waste,Chemical waste,Chemical waste
298,There are pails of paint near the oracs.,Waste,Chemical waste,Chemical waste,Chemical waste
299,Children are playing on the street tiles.,Waste,Chemical waste,Chemical waste,Chemical waste
300,Children are playing on the tiles where the bucket is overturned.,Waste,Chemical waste,Chemical waste,Chemical waste
301,There are children playing on the street tiles.,Waste,Chemical waste,Chemical waste,Chemical waste
302,Children play on the street tiles.,Waste,Chemical waste,Chemical waste,Chemical waste
303,"In the meantime, the rest of the roadblock (3 meters long red-white) is in the street.",Waste,Bulky waste,Bulky waste,Bulky waste
304,The rest of the roadblock (3 meters long red-white) is in the street.,Waste,Bulky waste,Bulky waste,Bulky waste
305,"In the meantime, the rest of the roadblock (3 meters long red-white) has been reported 4 times.",Waste,Bulky waste,Bulky waste,Bulky waste
306,There is not a lot of parking space in this neighborhood.,Waste,Bulky waste,Bulky waste,Bulky waste
307,There is very little parking space in this neighborhood.,Waste,Bulky waste,Bulky waste,Bulky waste
308,There are not many parking spaces in this neighborhood.,Waste,Bulky waste,Bulky waste,Bulky waste
309,There are very little parking spaces in this neighborhood.,Waste,Bulky waste,Bulky waste,Bulky waste
310,There is not much parking space in this neighborhood.,Waste,Bulky waste,Bulky waste,Bulky waste
311,A van has spilled pot paint.,Waste,Chemical waste,Chemical waste,Chemical waste
312,The van has spilled pot paint.,Waste,Chemical waste,Chemical waste,Chemical waste
313,There is a van that spilled pot paint.,Waste,Chemical waste,Chemical waste,Chemical waste
314,"The customer had an appointment with bulky waste, but other people have added items, including a box with paint.",Waste,Chemical waste,Chemical waste,Chemical waste
315,"The customer had an appointment with bulky waste, but other people have added items.",Waste,Chemical waste,Chemical waste,Chemical waste
316,Plastic containers were used to store the paint at the ORACs.,Waste,Chemical waste,Chemical waste,Chemical waste
317,Plastic containers were used to hold the paint at the ORACs.,Waste,Chemical waste,Chemical waste,Chemical waste
318,Paint was placed in plastic containers at the ORACs.,Waste,Chemical waste,Chemical waste,Chemical waste
319,Paint was put in plastic containers at the ORACs.,Waste,Chemical waste,Chemical waste,Chemical waste
320,There are paint pots on the sidewalk.,Waste,Chemical waste,Chemical waste,Chemical waste
321,The sidewalk has paint pots on it.,Waste,Chemical waste,Chemical waste,Chemical waste
322,Heavy rocks.,Waste,Bulky waste,Bulky waste,Bulky waste
323,There are heavy rocks to orac.,Waste,Bulky waste,Bulky waste,Bulky waste
324,There are rocks to orac.,Waste,Bulky waste,Bulky waste,Bulky waste
